Departamento ,Municipio ,Censo electoral ,Participación/Total votos ,Abstención ,Partido ganador ,Votos válidos ,PARTIDO LIBERAL COLOMBIANO,PARTIDO CONSERVADOR COLOMBIANO,PARTIDO CAMBIO RADICAL,PARTIDO ALIANZA VERDE,MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA AICO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,PARTIDO POLÍTICO MIRA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,PARTIDO POLO DEMOCRÁTICO ALTERNATIVO,PARTIDO COLOMBIA HUMANA - UNIÓN PATRIÓTICA,PARTIDO CENTRO DEMOCRÁTICO,MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMÚN FARC.,PARTIDO COLOMBIA JUSTA LIBRES,PARTIDO COLOMBIA RENACIENTE,PARTIDO ADA,"PARTIDO DE REIVINDICACIÓN ÉTNICA ""PRE""",LATITUD,LONGITUD
Caldas,Manizales, 332.416 , 159.243 , 173.173 ,PARTIDO LIBERAL COLOMBIANO, 159.243 , 34.314 , 22.864 , 12.338 , 22.795 ,, 10.758 ,, 20.997 ,,,,,, 3.965 , 8.109 , 2.143 ,,5.08343301,-75.50727881
Caldas,Aguadas, 18.768 , 9.654 , 9.114 ,PARTIDO LIBERAL COLOMBIANO, 9.654 , 3.241 , 1.886 , 195 , 137 , 382 ,, 575 , 1.402 , 1.073 ,, 551 ,,, 212 ,,,,5.616204006,-75.455447104
Caldas,Anserma, 27.999 , 13.419 , 14.580 ,PARTIDO LIBERAL COLOMBIANO, 13.419 , 3.400 , 2.420 , 1.346 , 210 ,,, 1.077 , 1.457 ,,, 2.751 , 157 ,, 601 ,,,,5.20029922,-75.752890779
Caldas,Aranzazu, 11.129 , 5.482 , 5.647 ,PARTIDO CONSERVADOR COLOMBIANO, 5.482 , 909 , 1.954 , 143 , 293 ,,, 100 , 1.311 ,,, 660 , 29 ,, 71 ,,, 12 ,5.265539969,-75.473926194
Caldas,Belalcázar, 10.125 , 5.370 , 4.755 ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U, 5.370 , 414 , 1.444 , 401 ,,,,, 1.563 ,,, 1.369 , 179 ,,,,,,4.99467728,-75.812259892
Caldas,Chinchiná, 45.698 , 22.727 , 22.971 ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U, 22.727 , 4.145 , 2.912 ,,,, 1.658 ,, 5.836 ,,, 1.893 ,,, 727 , 1.451 , 247 , 727 ,4.974340569,-75.659546861
Caldas,Filadelfia, 9.205 , 5.251 , 3.954 ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U, 5.251 , 1.364 , 853 ,, 236 ,, 612 ,, 1.863 ,,, 123 , 134 ,,, 66 ,,,5.285743777,-75.589787839
Caldas,La Dorada, 56.614 , 27.327 , 29.287 ,PARTIDO LIBERAL COLOMBIANO, 27.327 , 5.120 , 427 , 2.826 , 853 , 2.789 , 3.887 , 1.269 , 3.311 , 715 ,, 2.580 , 405 ,, 675 , 817 , 979 , 674 ,5.410515691,-74.72114262
Caldas,La Merced, 5.554 , 3.417 , 2.137 ,PARTIDO LIBERAL COLOMBIANO, 3.417 , 1.111 , 802 , 186 , 19 ,,,, 887 ,,,,,,,,,,5.393185716,-75.557910707
Caldas,Manzanares, 15.462 , 7.965 , 7.497 ,PARTIDO CONSERVADOR COLOMBIANO, 7.965 , 924 , 2.083 , 529 , 110 , 540 ,,, 1.886 ,,,,,, 52 , 702 ,,,5.23295391,-75.152634472
Caldas,Marmato, 7.075 , 3.965 , 3.110 ,PARTIDO LIBERAL COLOMBIANO, 3.965 , 1.451 , 690 ,,,,,, 1.079 ,,, 71 ,,,, 238 ,,,5.492632029,-75.60209955
Caldas,Marquetalia, 11.528 , 6.084 , 5.444 ,PARTIDO CONSERVADOR COLOMBIANO, 6.084 , 759 , 1.289 , 794 , 842 ,,,, 692 , 22 ,, 1.146 ,,,, 540 ,,,5.309142491,-75.041178923
Caldas,Marulanda, 2.517 , 1.475 , 1.042 ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U, 1.475 , 159 , 286 ,, 47 ,, 254 ,, 456 ,,, 273 ,,,,,,,5.235585244,-75.283166479
Caldas,Neira, 19.400 , 9.865 , 9.535 ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U, 9.865 , 2.270 , 2.281 ,,,, 382 ,, 2.513 ,, 30 , 634 ,,,, 175 ,, 52 ,5.183358589,-75.506929774
Caldas,Norcasia, 5.970 , 3.516 , 2.454 ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U, 3.516 , 1.001 , 582 ,,,, 448 ,, 1.485 ,,,,,,,,,,5.638062349,-74.854927072
Caldas,Pácora, 11.987 , 6.842 , 5.145 ,PARTIDO LIBERAL COLOMBIANO, 6.842 , 3.290 , 926 ,,, 31 ,, 381 , 2.214 ,,,,,,,,,,5.500035035,-75.482450565
Caldas,Palestina, 14.569 , 7.112 , 7.457 ,PARTIDO LIBERAL COLOMBIANO, 7.112 , 2.460 , 177 , 65 , 549 ,, 354 ,, 2.285 ,,,,,, 165 , 60 ,, 16 ,5.050342543,-75.661762659
Caldas,Pensilvania, 16.504 , 8.772 , 7.732 ,G.S.C. PENSILVANIA PRIMERO, 8.772 , 1.669 , 786 ,, 49 ,, 593 ,,,,, 2.752 ,,,, 161 ,,,5.407187836,-75.166839962
Caldas,Riosucio, 39.033 , 19.912 , 19.121 ,MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL, 19.912 , 2.052 , 1.934 , 1.139 , 440 ,, 429 ,, 3.245 , 967 ,,, 5.599 ,, 60 ,,,,5.097563816,-75.733351662
